"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Tampa Bay Buccaneers","17","2021","Tampa Bay","Buccaneers","764","1.3","1.70","6.7","0.22","3.9","0.59","4.2","0.33","0.3","0.8","1.3","0.0","3.0","2.0","0.4"
"2","Seattle Seahawks","17","2021","Seattle","Seahawks","720","0.4","1.60","5.3","0.29","1.8","0.34","4.3","0.51","0.1","0.3","1.4","0.0","1.5","0.3","2.1"
"3","Minnesota Vikings","17","2021","Minnesota","Vikings","711","1.0","0.57","3.2","0.45","1.7","0.28","2.7","0.80","0.1","0.8","1.0","0.0","0.8","0.6","0.8"
"4","Los Angeles Rams","17","2021","Los Angeles","Rams","706","0.3","0.58","5.7","0.16","4.1","0.14","2.3","0.25","0.0","0.3","0.0","0.0","3.7","0.7","1.3"
"5","Tennessee Titans","17","2021","Tennessee","Titans","702","1.9","0.78","2.4","0.65","3.4","0.65","1.6","1.07","0.1","1.7","0.1","0.0","1.6","0.6","0.1"
"6","Cincinnati Bengals","17","2021","Cincinnati","Bengals","692","2.9","0.51","4.5","0.26","5.1","0.28","2.5","0.74","0.4","2.3","1.3","0.0","2.7","0.3","0.1"
"7","Green Bay Packers","17","2021","Green Bay","Packers","683","1.0","0.87","1.9","0.84","2.2","0.56","1.3","2.36","0.0","1.0","0.0","0.0","1.2","0.6","0.1"
"8","Dallas Cowboys","17","2021","Dallas","Cowboys","682","3.1","1.06","4.0","0.29","3.7","0.53","3.7","0.64","0.3","2.1","1.6","0.7","1.3","0.9","0.1"
"9","Kansas City Chiefs","17","2021","Kansas City","Chiefs","678","1.3","0.26","3.1","0.43","1.9","0.36","2.8","0.46","0.0","1.0","1.8","0.0","0.9","0.0","0.4"
"10","Miami Dolphins","17","2021","Miami","Dolphins","677","2.5","0.24","3.1","0.32","3.4","0.29","2.5","0.51","0.7","1.6","1.2","0.1","1.8","0.0","0.1"
"11","Las Vegas Raiders","17","2021","Las Vegas","Raiders","675","0.0","0.00","5.6","0.35","5.2","0.41","0.6","0.86","0.0","","0.0","0.0","5.0","0.6","0.0"
"12","Baltimore Ravens","17","2021","Baltimore","Ravens","671","4.6","0.57","4.2","0.26","5.2","0.33","3.6","0.56","1.3","2.5","0.1","0.4","2.7","0.4","0.9"
"13","New Orleans Saints","17","2021","New Orleans","Saints","671","2.4","0.20","2.8","0.13","3.1","0.14","2.4","0.13","0.3","1.6","0.3","0.4","1.3","1.0","0.1"
"14","New York Giants","17","2021","New York","Giants","668","1.8","1.01","3.6","0.29","3.0","0.33","3.1","0.66","0.3","1.0","1.8","0.4","1.5","0.1","0.1"
"15","Washington Football Team","17","2021","Washington","Football Team","665","2.7","0.17","3.8","0.34","3.9","0.23","3.5","0.41","0.0","2.6","0.5","0.2","1.4","1.5","0.5"
"16","Indianapolis Colts","17","2021","Indianapolis","Colts","662","0.8","0.98","3.3","0.83","2.3","0.57","2.0","1.46","0.2","0.6","0.6","0.0","1.7","0.5","0.6"
"17","Pittsburgh Steelers","17","2021","Pittsburgh","Steelers","650","1.7","0.74","6.6","0.16","4.6","0.26","3.8","0.28","0.3","1.4","2.6","0.0","3.2","0.2","0.6"
"18","New York Jets","17","2021","New York","Jets","645","2.2","0.15","3.1","0.64","3.6","0.23","2.0","0.75","0.0","2.2","0.3","0.0","1.4","0.8","0.6"
"19","Philadelphia Eagles","17","2021","Philadelphia","Eagles","645","0.2","0.64","5.4","0.19","1.7","0.21","4.3","0.18","0.2","","1.2","0.0","1.7","1.4","1.1"
"20","Cleveland Browns","17","2021","Cleveland","Browns","639","0.9","0.34","5.2","0.69","3.3","0.63","3.1","1.02","0.0","0.8","0.0","0.2","2.5","2.5","0.2"
"21","Denver Broncos","17","2021","Denver","Broncos","631","0.8","0.62","4.8","0.43","2.4","0.64","4.3","0.24","0.0","0.8","0.5","0.0","1.6","0.6","2.1"
"22","Atlanta Falcons","17","2021","Atlanta","Falcons","626","1.3","1.32","4.6","0.48","2.9","0.85","3.4","0.46","0.2","1.0","2.7","0.0","1.9","0.0","0.0"
"23","Arizona Cardinals","17","2021","Arizona","Cardinals","626","2.9","0.39","3.5","0.17","3.4","0.31","3.5","0.48","0.5","1.4","0.8","0.8","1.9","0.2","0.6"
"24","San Francisco 49ers","17","2021","San Francisco","49ers","626","2.1","0.95","7.8","0.27","8.1","0.45","1.9","0.27","0.0","2.1","0.0","0.0","6.1","0.5","1.3"
"25","Los Angeles Chargers","17","2021","Los Angeles","Chargers","625","0.6","0.06","3.4","0.32","2.7","0.26","1.4","0.76","0.2","0.5","0.0","0.0","2.2","0.6","0.5"
"26","Detroit Lions","17","2021","Detroit","Lions","606","0.7","2.21","3.5","0.38","3.3","0.95","1.2","0.31","0.0","0.7","0.5","0.0","2.3","0.3","0.3"
"27","Buffalo Bills","17","2021","Buffalo","Bills","606","3.0","0.19","2.3","0.32","3.8","0.29","2.0","0.48","0.0","2.8","0.3","0.0","1.0","0.5","0.5"
"28","Jacksonville Jaguars","17","2021","Jacksonville","Jaguars","603","3.2","0.93","2.7","0.35","5.0","0.73","1.2","0.28","0.7","2.5","0.2","0.0","2.5","0.0","0.0"
"29","New England Patriots","17","2021","New England","Patriots","601","3.2","0.41","1.7","0.32","3.8","0.25","1.0","0.91","0.2","3.0","0.8","0.0","0.8","0.0","0.0"
"30","Houston Texans","17","2021","Houston","Texans","599","0.5","0.24","7.8","0.37","1.8","0.63","6.8","0.37","0.0","0.5","5.5","0.0","1.3","0.2","0.8"
"31","Carolina Panthers","17","2021","Carolina","Panthers","569","1.2","0.05","6.2","0.36","4.0","0.21","3.5","0.62","0.0","1.1","0.7","0.0","3.0","1.8","0.7"
"32","Chicago Bears","17","2021","Chicago","Bears","545","1.3","0.27","3.1","1.11","2.2","0.43","2.8","1.31","0.6","0.7","0.2","0.0","1.5","0.4","1.1"